methods,threads,best_positions,best_value,cost_time
PCC,1,"(2800,6) (4653,4239) ",1.00,1.411686
SSD,1,"(2800,6) (4653,4239) ",0.00,0.753369
PCC,2,"(2800,6) (4653,4239) ",1.00,0.814439
SSD,2,"(2800,6) (4653,4239) ",0.00,0.494060
PCC,3,"(2800,6) (4653,4239) ",1.00,0.549050
SSD,3,"(2800,6) (4653,4239) ",0.00,0.331179
PCC,4,"(2800,6) (4653,4239) ",1.00,0.427439
SSD,4,"(2800,6) (4653,4239) ",0.00,0.293572
PCC,5,"(2800,6) (4653,4239) ",1.00,0.365423
SSD,5,"(2800,6) (4653,4239) ",0.00,0.206904
PCC,6,"(2800,6) (4653,4239) ",1.00,0.301992
SSD,6,"(2800,6) (4653,4239) ",0.00,0.189500
PCC,7,"(2800,6) (4653,4239) ",1.00,0.279117
SSD,7,"(2800,6) (4653,4239) ",0.00,0.159739
PCC,8,"(2800,6) (4653,4239) ",1.00,0.237882
SSD,8,"(2800,6) (4653,4239) ",0.00,0.164350
PCC,9,"(2800,6) (4653,4239) ",1.00,0.254835
SSD,9,"(2800,6) (4653,4239) ",0.00,0.129007
PCC,10,"(2800,6) (4653,4239) ",1.00,0.201623
SSD,10,"(2800,6) (4653,4239) ",0.00,0.115110
PCC,11,"(2800,6) (4653,4239) ",1.00,0.193696
SSD,11,"(2800,6) (4653,4239) ",0.00,0.114846
PCC,12,"(2800,6) (4653,4239) ",1.00,0.184545
SSD,12,"(2800,6) (4653,4239) ",0.00,0.111162
PCC,13,"(2800,6) (4653,4239) ",1.00,0.179539
SSD,13,"(2800,6) (4653,4239) ",0.00,0.099772
PCC,14,"(2800,6) (4653,4239) ",1.00,0.170301
SSD,14,"(2800,6) (4653,4239) ",0.00,0.110964
PCC,15,"(2800,6) (4653,4239) ",1.00,0.165801
SSD,15,"(2800,6) (4653,4239) ",0.00,0.098725
PCC,16,"(2800,6) (4653,4239) ",1.00,0.151596
SSD,16,"(2800,6) (4653,4239) ",0.00,0.090976
PCC,17,"(2800,6) (4653,4239) ",1.00,0.138177
SSD,17,"(2800,6) (4653,4239) ",0.00,0.086752
PCC,18,"(2800,6) (4653,4239) ",1.00,0.138444
SSD,18,"(2800,6) (4653,4239) ",0.00,0.081629
PCC,19,"(2800,6) (4653,4239) ",1.00,0.135511
SSD,19,"(2800,6) (4653,4239) ",0.00,0.077845
PCC,20,"(2800,6) (4653,4239) ",1.00,0.133234
SSD,20,"(2800,6) (4653,4239) ",0.00,0.083274
PCC,21,"(2800,6) (4653,4239) ",1.00,0.137419
SSD,21,"(2800,6) (4653,4239) ",0.00,0.074650
PCC,22,"(2800,6) (4653,4239) ",1.00,0.141501
SSD,22,"(2800,6) (4653,4239) ",0.00,0.076382
PCC,23,"(2800,6) (4653,4239) ",1.00,0.122136
SSD,23,"(2800,6) (4653,4239) ",0.00,0.070944
PCC,24,"(2800,6) (4653,4239) ",1.00,0.126490
SSD,24,"(2800,6) (4653,4239) ",0.00,0.070943
PCC,25,"(2800,6) (4653,4239) ",1.00,0.112488
SSD,25,"(2800,6) (4653,4239) ",0.00,0.066532
PCC,26,"(2800,6) (4653,4239) ",1.00,0.126909
SSD,26,"(2800,6) (4653,4239) ",0.00,0.067068
PCC,27,"(2800,6) (4653,4239) ",1.00,0.110646
SSD,27,"(2800,6) (4653,4239) ",0.00,0.067682
PCC,28,"(2800,6) (4653,4239) ",1.00,0.134395
SSD,28,"(2800,6) (4653,4239) ",0.00,0.066589
PCC,29,"(2800,6) (4653,4239) ",1.00,0.117449
SSD,29,"(2800,6) (4653,4239) ",0.00,0.064710
PCC,30,"(2800,6) (4653,4239) ",1.00,0.105582
SSD,30,"(2800,6) (4653,4239) ",0.00,0.061053
PCC,31,"(2800,6) (4653,4239) ",1.00,0.125029
SSD,31,"(2800,6) (4653,4239) ",0.00,0.065632
PCC,32,"(2800,6) (4653,4239) ",1.00,0.103491
SSD,32,"(2800,6) (4653,4239) ",0.00,0.062905
